1050,1107516.666667
1550,1134206.666667
2050,1207423.333333
2550,1757543.333333
3050,1729306.666667
3550,1686053.333333
4050,1873503.333333
4550,2436140.000000
5050,2198843.333333
5550,2458816.666667
6050,3303986.666667
6550,3065973.333333
7050,3109780.000000
7550,3523060.000000
8050,3784190.000000
8550,4569536.666667
9050,4427516.666667
9550,4424293.333333
10050,4845350.000000
10550,4955970.000000
11050,5532160.000000
11550,5753953.333333
12050,5995306.666667
12550,6385673.333333
13050,6363380.000000
13550,6716813.333333
14050,7005390.000000
14550,7401393.333333
15050,8363350.000000
15550,8016223.333333
16050,8389046.666667
16550,8315280.000000
17050,9136370.000000
17550,9169710.000000
18050,9207166.666667
18550,9670960.000000
19050,10043310.000000
19550,10008140.000000
20050,10427650.000000
20550,11194983.333333
21050,10823056.666667
21550,11614673.333333
22050,11758090.000000
22550,12385806.666667
23050,12921893.333333
23550,12819190.000000
24050,13098060.000000
24550,13168623.333333
25050,13609560.000000
25550,14506500.000000
26050,14503570.000000
26550,14849330.000000
27050,14820163.333333
27550,15605110.000000
28050,19493300.000000
28550,16339340.000000
29050,16032183.333333
29550,17187423.333333
30050,17279480.000000
30550,17517950.000000
31050,17642043.333333
31550,18478463.333333
32050,19045073.333333
32550,19044423.333333
33050,19005966.666667
33550,19422183.333333
34050,19781276.666667
34550,20435393.333333
35050,19922513.333333
35550,20998260.000000
36050,25525626.666667
36550,25657556.666667
37050,21920410.000000
37550,22461463.333333
38050,22359350.000000
38550,23651753.333333
39050,23267053.333333
39550,23680030.000000
40050,24534013.333333
40550,24494620.000000
41050,24587003.333333
41550,24976490.000000
42050,25932246.666667
42550,25765990.000000
43050,26313723.333333
43550,27238113.333333
44050,27705463.333333
44550,27748353.333333
45050,27799043.333333
45550,28355286.666667
46050,30295390.000000
46550,29539110.000000
47050,29281066.666667
47550,29403776.666667
48050,30184903.333333
48550,29900910.000000
49050,30611383.333333
49550,30819396.666667
