3000,2209000.000000
3300,662270.000000
3600,509480.000000
3900,361640.000000
4200,720500.000000
4500,889480.000000
4800,357830.000000
5100,607850.000000
5400,488140.000000
5700,601620.000000
6000,793210.000000
6300,577940.000000
6600,737200.000000
6900,506080.000000
7200,542320.000000
7500,515690.000000
7800,546960.000000
8100,588950.000000
8400,836400.000000
8700,890130.000000
9000,590820.000000
9300,597360.000000
9600,904660.000000
9900,1018970.000000
10200,680460.000000
10500,841790.000000
10800,684680.000000
11100,610030.000000
11400,1105270.000000
11700,926310.000000
12000,1083870.000000
12300,1283780.000000
12600,1049760.000000
12900,1538010.000000
13200,1285710.000000
13500,676020.000000
13800,692490.000000
14100,751240.000000
14400,825590.000000
14700,1039460.000000
15000,1380060.000000
15300,5519760.000000
15600,1312150.000000
15900,729350.000000
16200,783580.000000
16500,1992130.000000
16800,1713480.000000
17100,1157540.000000
17400,1692560.000000
17700,1182910.000000
18000,1405430.000000
18300,1308510.000000
18600,1048640.000000
18900,1095910.000000
19200,1148130.000000
19500,1077440.000000
19800,1076610.000000
20100,1802020.000000
20400,1331840.000000
20700,1249000.000000
21000,1611520.000000
21300,2192340.000000
21600,1360150.000000
21900,1437440.000000
22200,1337540.000000
22500,1378680.000000
22800,1304040.000000
23100,1566320.000000
23400,1340160.000000
23700,1344090.000000
24000,2043970.000000
24300,1389150.000000
24600,1301520.000000
24900,1401990.000000
25200,2336510.000000
25500,1502710.000000
25800,2108320.000000
26100,1308570.000000
26400,1320610.000000
26700,1403140.000000
27000,1332970.000000
27300,1351410.000000
27600,1416740.000000
27900,1400970.000000
28200,1445140.000000
28500,1461240.000000
28800,1484590.000000
29100,1517840.000000
29400,1497640.000000
29700,1466190.000000
30000,1539410.000000
30300,1495670.000000
30600,1670780.000000
30900,1566110.000000
31200,1594360.000000
31500,1568600.000000
31800,1679630.000000
32100,1586000.000000
32400,1610940.000000
32700,1701740.000000
33000,2406370.000000
33300,2540310.000000
33600,2437060.000000
33900,2523130.000000
34200,2466920.000000
34500,2598470.000000
34800,2895140.000000
35100,2596460.000000
35400,2602910.000000
35700,2680890.000000
36000,2602650.000000
36300,3197170.000000
36600,2841690.000000
36900,2802040.000000
37200,3007360.000000
37500,2856610.000000
37800,2991160.000000
38100,3038750.000000
38400,2910150.000000
38700,3051650.000000
39000,3210180.000000
39300,3107470.000000
39600,3100870.000000
39900,3713060.000000
40200,3043270.000000
40500,3137770.000000
40800,3237700.000000
41100,3025020.000000
41400,3094900.000000
41700,3264330.000000
42000,3143180.000000
42300,3262980.000000
42600,3306240.000000
42900,3386370.000000
43200,3286460.000000
43500,3234380.000000
43800,3501190.000000
44100,3524280.000000
44400,3299430.000000
44700,4875820.000000
45000,3781870.000000
45300,3475770.000000
45600,3489150.000000
45900,3387500.000000
46200,3367680.000000
46500,3561700.000000
46800,3589410.000000
47100,3512960.000000
47400,3606070.000000
47700,3432630.000000
48000,3572330.000000
48300,3431230.000000
48600,3470750.000000
48900,3572340.000000
49200,3852620.000000
49500,3520260.000000
49800,3392850.000000
50100,3345110.000000
50400,3491800.000000
50700,3486260.000000
51000,3369400.000000
51300,3341780.000000
51600,3488210.000000
51900,3598440.000000
52200,3418430.000000
52500,3526210.000000
52800,3568360.000000
53100,3769370.000000
53400,3787400.000000
53700,3681950.000000
54000,3590900.000000
54300,3660430.000000
54600,3611400.000000
54900,3840700.000000
55200,3850670.000000
55500,3845140.000000
55800,3748390.000000
56100,3725870.000000
56400,3771380.000000
56700,3818840.000000
57000,4098470.000000
57300,3969800.000000
57600,4999540.000000
57900,3753860.000000
58200,3804850.000000
58500,3795860.000000
58800,3874360.000000
59100,3926770.000000
59400,4071820.000000
59700,4103880.000000
60000,4110560.000000
60300,4148440.000000
60600,4248260.000000
60900,4164840.000000
61200,4005650.000000
61500,5538990.000000
61800,4048110.000000
62100,4205780.000000
62400,4087930.000000
62700,4138540.000000
63000,4346970.000000
63300,4377030.000000
63600,4371350.000000
63900,4413850.000000
64200,4386530.000000
64500,4364610.000000
64800,4488840.000000
65100,5379010.000000
65400,4471000.000000
65700,6306000.000000
66000,6315010.000000
66300,6497720.000000
66600,6520010.000000
66900,6580590.000000
67200,6441640.000000
67500,7547210.000000
67800,6678530.000000
68100,6735320.000000
68400,6728880.000000
68700,6623520.000000
69000,6766260.000000
69300,7876000.000000
69600,7926100.000000
69900,8161830.000000
70200,8040460.000000
70500,8070650.000000
70800,8036680.000000
71100,8125630.000000
71400,8163380.000000
71700,9416000.000000
72000,8192590.000000
72300,8123940.000000
72600,8339390.000000
72900,8478210.000000
73200,8338760.000000
73500,9304940.000000
73800,8403410.000000
74100,8238760.000000
74400,8491210.000000
74700,8448370.000000
75000,8308350.000000
75300,8915200.000000
75600,8539260.000000
75900,8512950.000000
76200,8535320.000000
76500,8555500.000000
76800,8545780.000000
77100,9745490.000000
77400,8638490.000000
77700,8587990.000000
78000,8627390.000000
78300,8743920.000000
78600,8683000.000000
78900,9726020.000000
79200,8617590.000000
79500,8589060.000000
79800,8682730.000000
80100,8723400.000000
80400,8917420.000000
80700,9187600.000000
81000,8862780.000000
81300,8824950.000000
81600,8968440.000000
81900,9030560.000000
82200,8624120.000000
82500,9980050.000000
82800,8727700.000000
83100,8749340.000000
83400,8865520.000000
83700,8744510.000000
84000,9049320.000000
84300,10003060.000000
84600,9076430.000000
84900,8907280.000000
85200,8887850.000000
85500,9202030.000000
85800,9624340.000000
86100,9302250.000000
86400,9439910.000000
86700,9373270.000000
87000,9375050.000000
87300,9467680.000000
87600,10615130.000000
